,Operating Name,Issued,year,postal,area
58715,JAY JAY'S INN,31/07/96,1996,M8V1H8,M8V
58716,THE GUV'NOR,01/08/96,1996,M4T1W5,M4T
58717,JING PEKING RESTAURANT,07/08/96,1996,M1B5K9,M1B
58718,T.J. DELICIOUS TREATS,08/08/96,1996,M5V3B7,M5V
58719,GEORGES RESTAURANT,25/09/96,1996,M4C1K1,M4C
58720,CHEF'S CATERING,04/10/96,1996,M4M3N7,M4M
58721,YOUNG THAILAND CAFE,07/10/96,1996,M5C1S6,M5C
58722,CI VEDIAMO RISTORANTE LTD,07/10/96,1996,M4L1H8,M4L
58723,GARLIC PEPPER,25/10/96,1996,M4N2M4,M4N
58724,HARVEY'S,14/11/96,1996,M1L2L9,M1L
58725,IVY'S COFFEE SHOP,13/11/96,1996,M4P1P1,M4P
58726,DIAMOND CAFE,07/01/98,1998,M4K3S5,M4K
58727,CLUB JIMMY JACKS BAR & EATERY,12/06/97,1997,M1K1R5,M1K
58728,BRAZILIAN PROFILE IMPORTS,12/02/97,1997,M6H1A4,M6H
58729,ITHACA,08/11/96,1996,M4W1A9,M4W
58730,MOM'S BIG BOWL OF SOUP INC,02/05/97,1997,M4W3E2,M4W
58731,ROTORS BISTRO,27/01/97,1997,M6G1K5,M6G
58732,TIMOTHY'S,17/02/97,1997,M5V2W6,M5V
58733,SAN VITO SOCIAL CLUB,04/03/97,1997,M6N1H9,M6N
58734,THE WINEYARD,01/01/97,1997,M4S2A5,M4S
58735,BASKIN-ROBINS,26/02/97,1997,M4Y2E1,M4Y
58736,MERENDA RESTAURANT,01/01/97,1997,M6G1M2,M6G
58737,THE BREAK TIME CAFE,01/01/97,1997,M1K5G8,M1K
58738,GRAND PALACE RESTAURANT (1997),01/01/97,1997,M1V5J6,M1V
58739,CAPE HOLLYWOOD CAFE,29/04/97,1997,M4T2Y4,M4T
58740,ROTI EXPRESS INC,20/01/97,1997,M4W3J6,M4W
58741,ROTI EXPRESS INC,17/04/97,1997,M5J1C3,M5J
58742,THE TOWN GRILL,10/03/97,1997,M5A2L2,M5A
58743,BAGELS N' MORE,17/02/97,1997,M1R4B7,M1R
58744,FUTURE BAKERY AND CAFE,17/03/97,1997,M6J1G1,M6J
58745,ALBAYDAR,14/03/97,1997,M5J1A7,M5J
58746,SUNRISE CITY FAST FOOD,11/03/97,1997,M5T2X1,M5T
58747,EURO BURGER,21/03/97,1997,M4K3S8,M4K
58748,PETER THE FISHERMAN,14/04/97,1997,M1R2Z3,M1R
58749,HAN KUCK GI-WON,04/04/97,1997,M6G1L1,M6G
58750,PANZ PIZZA 27,10/04/97,1997,M6H1N1,M6H
58751,CHEF'S CATERING LTD,11/04/97,1997,M1P2J7,M1P
58752,RICHARDS GOURMET GRUB,09/05/97,1997,M4M2S1,M4M
58753,INDOCHINE LA CUISINE CHINOISE,22/07/97,1997,M5T1G7,M5T
58754,JESSIE'S CAFE,06/05/97,1997,M1N1R4,M1N
58755,MADE IN JAPAN A TERIYAKI EXPERIENCE,28/04/97,1997,M5B2H1,M5B
58756,RUNNYMEDE BAR & CAFE,29/05/97,1997,M6N1L2,M6N
58757,CLUB 94,16/06/97,1997,M1K2M5,M1K
58758,KOO KOO ROO CANADA,08/05/97,1997,M4P2E7,M4P
58759,KOO KOO ROO CANADA,11/06/97,1997,M4T1Z6,M4T
58760,CAFE RESTAURANT,19/06/97,1997,M1H3G3,M1H
58761,BASKIN ROBBINS ICE CREAM,05/06/97,1997,M1W2S8,M1W
58762,SUNSET PARADISE RESTAURANT,29/05/97,1997,M4C1L8,M4C
58763,TRU-VALU-WEST INDIAN AND CANADIAN RESTAURANT,30/05/97,1997,M6E1B2,M6E
58764,ORLANDO'S,10/06/97,1997,M5V1Z4,M5V
58765,CHEZ MAX,14/07/97,1997,M5J1H7,M5J
58766,GREEK OLIVES RESTAURANT,19/06/97,1997,M4J1L5,M4J
58767,CAFE OLE,28/08/97,1997,M1L2L6,M1L
58768,STARCRAFT CAFE,03/07/97,1997,M4M2T5,M4M
58769,ASIAN BAZAAR,10/09/97,1997,M1R2S8,M1R
58770,SUBWAY,18/09/97,1997,M5N2C4,M5N
58771,CREPE DE PARIS,21/08/97,1997,M5C2W1,M5C
58772,OXEY'S GRINDERS AND PIZZA,16/09/97,1997,M5T1T3,M5T
58773,CONNECTIONS BAR & GRILL,15/08/97,1997,M6E1C4,M6E
58774,TIBIDABO TRATTORIA,29/09/97,1997,M6A2T2,M6A
58775,REGGIE'S ROTI PLACE,03/09/97,1997,M6P3S5,M6P
58776,THE MONKEY BAR & GRILL,29/08/97,1997,M4N2M6,M4N
58777,1235675 ONTARIO LTD,11/09/97,1997,M5H1W7,M5H
58778,CAFE FELLINI,30/10/97,1997,M6G1B7,M6G
58779,PICASSO RISTORANTE E PIZZERIA,01/01/98,1998,M6C2C5,M6C
58780,INTERNATIONAL NEWS CAFE,30/10/97,1997,M6N5B4,M6N
58781,LEMON TREE CAFE,30/09/97,1997,M1T3K8,M1T
58782,AROMA COFFEE BAR AND EATERY,30/10/97,1997,M5C1X3,M5C
58783,FARAZ RESTAURANT,20/10/97,1997,M4J1L8,M4J
58784,BACKYARD BURGER & PIZZA,01/01/98,1998,M4P1E4,M4P
58785,SUBS PLUS,21/10/97,1997,M4P1E4,M4P
58786,IMPERIAL GOURMET GARDEN,15/01/98,1998,M5T1G6,M5T
58787,SERENDIPITY COFFEE AND BAKERY EMPORIUM,21/01/98,1998,M4L1T7,M4L
58788,EMILIO'S RESTRO-BAR,01/01/98,1998,M6G1B4,M6G
58789,MR GRILL INC,01/01/98,1998,M4W3E2,M4W
58790,IVORY RESTAURANT,01/01/98,1998,M5R1B8,M5R
58791,PORTUGAS SPORTS BAR & CAFE,01/01/98,1998,M6H1B6,M6H
58792,MILANO CAFE,01/01/98,1998,M6H4H5,M6H
58793,EPIPHANY RESTAURANT & LOUNGE,01/01/98,1998,M4Y1L8,M4Y
58794,HALAL PIZZA AND CHICKEN WINGS,05/01/98,1998,M4H1H2,M4H
58795,CAFE QUYNH ANH RESTAURANT,01/01/98,1998,M6J1V3,M6J
58796,VIC HONG RESTAURANT,01/01/98,1998,M5T1G9,M5T
58797,DRUXY'S,07/01/98,1998,M1P4P5,M1P
58798,YOGI NOODLES,21/01/98,1998,M1S5B8,M1S
58799,COZY TEA ROOM,22/01/98,1998,M4E1R5,M4E
58800,NAM SAN RESTAURANT,02/06/98,1998,M3B1Y5,M3B
58801,HEALTHY EATING,10/02/98,1998,M4Y2W2,M4Y
58802,OOH LA LA WHOLESOME EATS,16/01/98,1998,M5V3G5,M5V
58803,TERRAMAR RESTAURANT,07/04/98,1998,M6E1C6,M6E
58804,SUBWAY SANDWICHES AND SALADS,25/03/98,1998,M4Y1X9,M4Y
58805,FRESH CROISSANTS,13/03/98,1998,M4Y1Y5,M4Y
58806,CHICKEN PLUS,17/03/98,1998,M6K1L7,M6K
58807,THE COFFEE EXCHANGE,18/03/98,1998,M5T2X1,M5T
58808,BUPPHA THAI RESTAURANT,13/02/98,1998,M6H1M4,M6H
58809,HICHAM FARHAT RESTAURANT,05/05/98,1998,M1R2Z1,M1R
58810,MMMARVELLOUS MMMUFFINS,25/03/98,1998,M4Y2B7,M4Y
58811,STUDIO 'K' BAR PATIO RESTAURANT,03/04/98,1998,M4S2A8,M4S
58812,SELECT SANDWICH,30/03/98,1998,M4W3J6,M4W
58813,THE CARIBBEAN KITCHEN,16/04/98,1998,M6G1L5,M6G
58814,ECCO LA BAR RESTAURANT,21/04/98,1998,M5T1S6,M5T
58815,NOTO PASTARIA,09/04/98,1998,M4S2M5,M4S
58816,EL AMIGO REFRESHMENT,15/04/98,1998,M6H2A6,M6H
58817,BOOM ON COLLEGE,15/04/98,1998,M6G1B3,M6G
58818,BORGO ANTICO,10/08/98,1998,M4W1L1,M4W
58819,STORIA CAFE,27/03/98,1998,M5N1A1,M5N
58820,VIBE LOUNGE,21/04/98,1998,M5V1V6,M5V
58821,SANTIAGO'S RESTAURANT AND CATERING,27/03/98,1998,M5A1V1,M5A
58822,PADACAKES,01/04/98,1998,M5G2C8,M5G
58824,FIT FOR LIFE,15/05/98,1998,M5H1T1,M5H
58825,ELM EATERY,01/05/98,1998,M5B1R8,M5B
58826,Y & A CAFE CO LTD,24/04/98,1998,M4C1J6,M4C
58827,HIGH STAR,08/05/98,1998,M1R1V5,M1R
58828,NORM'S MARKET GRILL,08/06/98,1998,M5T2M1,M5T
58829,GARAGE CAFE & BAR,20/05/98,1998,M5V1X3,M5V
58830,PIZZA PIZZA #110,06/05/98,1998,M1P2X8,M1P
58831,LAVA ROCKS,06/07/98,1998,M6E1A5,M6E
58832,ECTON FOOD SERVICE COMPANY,07/07/98,1998,M1L2P3,M1L
58833,PEACE OF HEAVEN,03/06/98,1998,M5B2J1,M5B
58834,EAT A PITA,15/07/98,1998,M4W1J5,M4W
58835,JUICE FOR LIFE,01/06/98,1998,M5V2A2,M5V
58836,TRE GRAZIE,23/09/98,1998,M5V2E2,M5V
58837,TITENIC,30/06/98,1998,M4M1Y7,M4M
58838,MCDONALD'S,24/07/98,1998,M1B5K7,M1B
58839,CHELO'S COFFEE BAR,08/07/98,1998,M4J1L6,M4J
58840,FEATURES CAFE,18/08/98,1998,M5H3B3,M5H
58841,HOTFLEX HEALTH CAFE,01/09/98,1998,M4Y2W2,M4Y
58842,SEABREEZE II,27/07/98,1998,M1L3W4,M1L
58843,LI DO VIETNAMESE CUISINE RESTAURANT,06/08/98,1998,M1S2C1,M1S
58844,DA-DE'S CUISINE,27/07/98,1998,M1S4N6,M1S
58845,BELAMY'S,24/06/98,1998,M4G4E8,M4G
58846,ROSANA RESTAURANTE,08/07/98,1998,M6H1M5,M6H
58847,THE SECOND CUP,10/08/98,1998,M4H1C3,M4H
58848,SZECHWAN PALACE RESTAURANT,27/07/98,1998,M1S4N6,M1S
58849,CASA GARIBALDI,25/06/98,1998,M4P1H4,M4P
58850,CHINA WOK HOUSE,23/06/98,1998,M4B1N4,M4B
58851,GOLDEN SAIGON,24/06/98,1998,M5T2G2,M5T
58852,MERCURY GRANITE LOUNGE,24/07/98,1998,M5V1W2,M5V
58853,GALAXY NITECLUB RESTAURANT + LOUNGE,25/06/98,1998,M1P2L2,M1P
58854,ORIENTAL GOURMET HOUSE,26/06/98,1998,M5H1Y4,M5H
58855,MIDNITE SUN CAFE LTD,01/09/98,1998,M4P2L2,M4P
58856,STEAM CITY (MT PLEASANT),01/01/99,1999,M4S2N4,M4S
58857,ORANGE GROVE CAFE,18/08/98,1998,M1N1V2,M1N
58858,CAY WEST INDIAN RESTAURANT,31/07/98,1998,M1G1R7,M1G
58859,THE RED PEPER,17/09/98,1998,M5E1B8,M5E
58860,YE OLD BRUNSWICK HOUSE,11/08/98,1998,M5S1X9,M5S
58861,COFFEE MILL,15/09/98,1998,M4J2B3,M4J
58862,DIVA CAFE,19/08/98,1998,M4Y2A6,M4Y
58863,21ST CENTURY COFFEE & DELI,30/07/98,1998,M1L1E1,M1L
58864,TIMOTHY'S NEWS WORLD CAFE,31/07/98,1998,M4P2E7,M4P
58865,GUMI JAPANESE & KOREAN RESTAURANT,14/09/98,1998,M1R2X9,M1R
58866,ALANA RESTAURANT,13/10/98,1998,M4J1L1,M4J
58867,DELI INN RESTAURANT-TAVERN,25/08/98,1998,M1L4J7,M1L
58868,RIVERDALE CAFE RESTAURANT,14/08/98,1998,M4L2R8,M4L
58869,PETE'S DONUTS,23/10/98,1998,M6E1B5,M6E
58870,NOVO IDEAL CAFE,14/09/98,1998,M6J1V6,M6J
58871,V-3 LOUNGE,27/08/98,1998,M4Y1J7,M4Y
58872,OMONIA CAFE,01/01/99,1999,M4K3T6,M4K
58873,RICHTREE/LOBLAWS PARTNERSHIP,10/02/99,1999,M5E1Z2,M5E
58874,SAKZ,20/10/98,1998,M5V1J5,M5V
58875,LOFTUS LLOYD CAFE,24/09/98,1998,M5V3A8,M5V
58876,TODAY'S BAR & GRILL,25/09/98,1998,M5A1S9,M5A
58877,FRIENDS BAR + GRILL,24/09/98,1998,M6K1G4,M6K
58878,TEMPTATION BAR & LOUNGE,01/01/99,1999,M6G1B2,M6G
58879,FRANKIE'S SOUTH PHILLY SUBS,27/10/98,1998,M4Y1R4,M4Y
58880,COFFEE WAY,05/11/98,1998,M1P2L1,M1P
58881,PETRO CANADA,11/03/99,1999,M1E4C2,M1E
58882,BISHOP AND BLUES,01/01/99,1999,M1L1E1,M1L
58883,KIWI CAFE,26/10/98,1998,M5A2G1,M5A
58884,THUC HIEN RESTAURANT,19/11/98,1998,M6J1J5,M6J
58885,PAKEEZA RESTAURANT & BANQUET HALL,08/03/99,1999,M4J1L2,M4J
58886,ELEMENTS,04/05/99,1999,M4G3B5,M4G
58887,AIDA'S FALAFEL,09/03/99,1999,M5B2L9,M5B
58888,PEACOCK RESTAURANT INDIAN CUISINE,01/01/99,1999,M5T1G6,M5T
58889,SMALL PLANET,12/01/99,1999,M4C1J4,M4C
58890,GOOD MORNING COFFEE,15/06/99,1999,M6L3C9,M6L
58891,EVER GREEN CAFE,06/11/98,1998,M4K1N4,M4K
58892,MULTI-CULTURAL GOURMET CATERING,13/05/99,1999,M1E1R3,M1E
58893,RICHMAN'S RESTAURANT,01/01/99,1999,M4Y2A1,M4Y
58894,THREE FOR ONE PIZZA & CHICKEN,19/01/99,1999,M1L1C5,M1L
58895,GREEK OLD TIMER'S CAFE,01/01/99,1999,M6G1M5,M6G
58896,CHILDREN'S OWN MUSEUM,04/05/99,1999,M5S2C5,M5S
58897,PYTHAGORAS RESTAURANT TAVERN,04/05/99,1999,M6P1Y8,M6P
58898,SOPHIE'S CAFE,01/01/99,1999,M5V3A6,M5V
58899,CHICK-N-JOY,01/01/99,1999,M1J3M5,M1J
58900,REUBEN'S DELI RESTAURANT & CATERER,01/01/99,1999,M5J2R8,M5J
58901,JANKIE'S BAR AND GRILL,01/01/99,1999,M6G1M5,M6G
58902,PAGLIACCI,05/05/99,1999,M5E1R4,M5E
58903,BLUE NOTE PIANO BAR,13/05/99,1999,M6B1R7,M6B
58904,RAFFERTY'S,02/06/99,1999,M1K2R8,M1K
58905,ACROBATS LOUNGE,16/02/99,1999,M4P2H5,M4P
58906,TROPICAL FOOD,29/01/99,1999,M1R5G4,M1R
58907,EL PANINO,03/02/99,1999,M5T2K2,M5T
58908,1256801 ONTARIO LTD,04/02/99,1999,M1S2C1,M1S
58909,CLUB MASTRONIC,10/05/99,1999,M4L1C2,M4L
58910,CHINESE CASUAL DINER,13/07/99,1999,M1S2B4,M1S
58911,MR PANINO,11/05/99,1999,M1P5A3,M1P
58912,EL SITIO,04/08/99,1999,M6E1B7,M6E
58913,REGGAE BOYS RESTAURANT AND SPORTS BAR,12/02/99,1999,M1H2A9,M1H
58914,HORSEED RESTAURANT,15/02/99,1999,M5B1E4,M5B
58915,SOUL SQUARE CAFE AND RESTAURANT,11/08/99,1999,M5T1L1,M5T
58916,LA CARAMBOLA RESTAURANT & BAR,06/04/99,1999,M4C1K4,M4C
58917,SHOELESS JOE'S,19/02/99,1999,M5V1K1,M5V
58918,MORI JAPANESE RESTAURANT AND CAFE,20/05/99,1999,M5R3L1,M5R
58919,SOPHIE'S CAFE,23/02/99,1999,M5V3A6,M5V
58920,1304645 ONTARIO INC,06/07/99,1999,M6E1B5,M6E
58921,JOYA,05/05/99,1999,M6G1B2,M6G
58922,SE YUP CLUB,15/09/99,1999,M5T1G6,M5T
58923,SAIGON BAMBOO SNACK & DESSERT,17/03/99,1999,M6E1A3,M6E
58924,RED SNAPPER KLASSIK,04/03/99,1999,M9L1Z3,M9L
58925,ACHTAROUTE BAKERY,31/05/99,1999,M1R2Y3,M1R
58926,AIDA'S FALAFEL,31/05/99,1999,M6C1A1,M6C
58927,RIO BRAVO CANTINA,07/06/99,1999,M4P2E6,M4P
58928,THE SECOND CUP-EAST YORK TOWN CENTER,18/06/99,1999,M4H1C3,M4H
58929,BAROLI CAFFE',26/05/99,1999,M4P2Y3,M4P
58930,SECOND STAR CAFE,28/10/99,1999,M5B1T3,M5B
58931,HALAL PIZZA AND CHICKEN (WINGS),19/05/99,1999,M1J3C2,M1J
58932,JOEFRED RESTAURANT AND BAKERY,01/04/99,1999,M6P4A9,M6P
58933,DOJO,10/05/99,1999,M5V2B6,M5V
58934,BAKEWORKS CAFE,23/08/99,1999,M6A2T9,M6A
58935,MR FOOD,04/06/99,1999,M4X1K2,M4X
58936,X O LOUNGE & RESTAURANT,31/05/99,1999,M4P2E7,M4P
58937,CORN DHABA,28/05/99,1999,M4L2A3,M4L
58938,CAPIRINHA BRASILIAN & PORTUGUESE CUISINE SPORTSBAR,22/07/99,1999,M6J1X2,M6J
58939,RICKY'S RESTAURANT,14/07/99,1999,M4T1M7,M4T
58940,THE 111 BAR & GRILL,14/07/99,1999,M5R1V4,M5R
58941,SAINT JOY,20/07/99,1999,M5R1G1,M5R
58942,BEST VALUE,01/09/99,1999,M1M1R9,M1M
58943,SCORPIO CAFE,07/05/99,1999,M9L2J5,M9L
58944,SHOELESS JOE'S,10/05/99,1999,M1P2L9,M1P
58945,X.IT,23/06/99,1999,M5V1H2,M5V
58946,HARVEY'S,06/07/99,1999,M1W2S6,M1W
58947,HUT 1,20/05/99,1999,M6R1X6,M6R
58948,HOT ZUCCHINI CAFE,26/05/99,1999,M4S2N6,M4S
58949,COCONUT PALM'S,30/09/99,1999,M6A2T4,M6A
58950,DIGLA RESTAURANT,02/06/99,1999,M9M2W1,M9M
58951,DOMO SUSHI HOUSE,02/06/99,1999,M1S4T6,M1S
58952,PHO QUE-HUONG VIETNAMESE RESTAURANT INC,20/09/99,1999,M6N3V8,M6N
58953,MR JERK KING,10/06/99,1999,M5A2R7,M5A
58954,SANSON'S RESTAURANT,16/06/99,1999,M1P2X8,M1P
58955,ATLANTIC RESTAURANT,06/07/99,1999,M6K1T9,M6K
58956,TANDOOR PALACE AND BAR,22/07/99,1999,M9M2G1,M9M
58957,GARVEY'S UPSTAIR KITCHEN AND BAR,06/07/99,1999,M5T2M1,M5T
58958,PIZZA 99,26/10/99,1999,M4B1N4,M4B
58959,COFFEE GALLERY,22/07/99,1999,M4S2M5,M4S
58960,GANDHYI RESTAURANT,30/07/99,1999,M4L1Z6,M4L
58961,OPTIONS BAR & EATERY,15/07/99,1999,M6J1X4,M6J
58962,AROMA COFFEE BAR & EATERY,12/08/99,1999,M8X1B9,M8X
58963,DEM THUONG NHO,23/07/99,1999,M6P3S5,M6P
58964,BROWNSTONE CAFE AND WINE BAR,27/07/99,1999,M4Y1Z5,M4Y
58965,CHAAT RENDEZVOUS,12/08/99,1999,M4L1Z8,M4L
58966,AUGUST CAFE,07/10/99,1999,M6R1A6,M6R
58967,LETTIERI ESPRESSO BAR CAFE,19/10/99,1999,M6S1N6,M6S
58968,ZORRO'S BAR AND CAFE,22/09/99,1999,M9L1E8,M9L
58969,PLAYA DORADA BANQUET HALL & RESTAURANT3,19/08/99,1999,M9L1X2,M9L
58970,CAFE ON THE GO,01/09/99,1999,M5B1C8,M5B
58971,OUTHAI BLUE RIVER RESTAURANT,23/09/99,1999,M6C2E2,M6C
58972,3 FOR 1 PIZZA & WINGS,20/10/99,1999,M5A1S8,M5A
58973,KHAYAM RESTAURANT,24/09/99,1999,M1K1C9,M1K
58974,JOE & LIN RESTAURANT,03/11/99,1999,M1K2M2,M1K
58975,DOWNSTAIRS CAFE,05/11/99,1999,M6L1A9,M6L
58976,ULTRA FINE FOODS,19/10/99,1999,M6K3E4,M6K
58977,VENGYS WEST INDIAN TAKE OUT FOOD,04/11/99,1999,M5A2Z7,M5A
58978,NEW KALYANI TAKE-OUT,12/11/99,1999,M1W2L1,M1W
58979,HARVEY'S RESTAURANT  #319,25/01/90,1990,M4W1A9,M4W
58980,COFFEE TIME DONUTS,01/01/98,1998,M5C2G5,M5C
58981,SUBWAY SANDWICHES & SALADS,22/08/89,1989,M1P2W9,M1P
58982,MARIA FULO,01/01/98,1998,M6H1A2,M6H
58983,EL ENCUENTRO LATINO,21/04/98,1998,M6G3T2,M6G
58984,GOLDEN GOOD'S CO LTD,14/09/98,1998,M1V4A2,M1V
58985,GOLDEN TURTLE CAFE & RESTAURANT,25/06/90,1990,M6N1J3,M6N
58986,GURU RESTAURANT & PUB,01/01/91,1991,M9M2G1,M9M
58987,RITEWAY TRADING COMPANY,30/08/94,1994,M9M1A2,M9M
58988,RESTAURONICS SERVICES LTD,17/03/95,1995,M9M2M1,M9M
58989,THE GREAT CANADIAN BAGEL,19/03/98,1998,M4S2C6,M4S
58990,1 PLUS 2 PIZZA AND WING 3,16/06/98,1998,M4J1N4,M4J
58991,PANZEROTTO PIZZA,26/05/99,1999,M3J3K2,M3J
58992,MOMENTOS RESTAURANT BAR,03/06/98,1998,M6E1B5,M6E
58993,FIT FOR LIFE,21/03/95,1995,M5L1G5,M5L
58994,MARWA FALAFEL RESTAURANT,27/06/95,1995,M6R1X3,M6R
58995,SUBWAY SANDDWICHES,31/07/89,1989,M5V1Z6,M5V
58996,THE GREAT CANADIAN BAGEL,19/03/98,1998,M4P2C8,M4P
58997,CAFE ISTANBUL,11/03/99,1999,M5R3J3,M5R
58998,DANG DE LION RESTAURANT,13/01/00,2000,M5S1Y6,M5S
58999,J KWINTER GOURMET FOODS,01/01/83,1983,M3J2X2,M3J
59000,KHAYR-QABE RESTAURANT,28/02/96,1996,M9V1A3,M9V
59001,SOCIETA,30/05/97,1997,M6G1C6,M6G
59002,TAK KEE RESTAURANT,22/05/97,1997,M1V4W6,M1V
59003,STAGE CAFE,27/07/94,1994,M5V1A3,M5V
59004,RED LOBSTER #8113,06/03/96,1996,M9W4J9,M9W
59005,CARLOS' PEPPER BAR AND GRILL,30/10/97,1997,M5T2L6,M5T
59006,MORABEZA BAR RESTAURANT,08/10/99,1999,M6J3A1,M6J
59007,FOX AND HOUND,12/11/97,1997,M4J1L2,M4J
59008,THE GREAT CANADIAN BAGEL,06/01/98,1998,M5R1B9,M5R
59009,GREEK BISTRO,27/03/98,1998,M2H2S7,M2H
59010,,14/04/99,1999,M5V2L7,M5V
59011,CAFFEE DEL CORSO,16/02/96,1996,M6E2J6,M6E
59012,LIFE GOES ON SPORT BAR & CAFFE,22/07/96,1996,M6E1B8,M6E
59013,PASTA PANTRY,24/07/98,1998,M4P1Z8,M4P
59014,OF THE STORM,09/04/99,1999,M4M1G4,M4M
59015,DEFINITELY DONUTS,23/09/92,1992,M5J1E5,M5J
59016,CAFE CRAVINGS,16/06/97,1997,M4G3B7,M4G
59017,CAFE MONDEALE & BAR,15/07/97,1997,M3L1Y8,M3L
59018,QUEEN STAR RESTAURANT,01/04/98,1998,M6J1J3,M6J
59019,COFFEE TIME DONUTS,24/03/98,1998,M5T1R7,M5T
59020,KALIFORNIA ROTISSERIE CHICHEN & PIZZA,10/09/97,1997,M1W3G5,M1W
59021,SILOAM EXPRESS,12/03/96,1996,M2N3A8,M2N
59022,TOPS RESTAURANT,26/10/98,1998,M4B2T5,M4B
59023,DOUBLE DOUBLE PIZZA & CHICKEN,27/07/99,1999,M6E2H4,M6E
59024,JUST DESSERTS,05/07/93,1993,M2N5N4,M2N
59025,,04/11/98,1998,M9W6K7,M9W
59026,RAINBOW DONUTS,24/10/97,1997,M1P1R6,M1P
59027,STEPHEN'S GOOD EATS,06/01/89,1989,M4L3B8,M4L
59028,ZOULPY'S,10/02/98,1998,M5A1K1,M5A
59029,A & M DONUTS,08/04/92,1992,M1G1R2,M1G
59030,OMELY RESTAURANT,11/01/99,1999,M6N1H8,M6N
59031,CMD RESTAURANT,28/01/99,1999,M4C1L7,M4C
59032,,12/07/95,1995,M2M3W5,M2M
59033,CHOICE FISH & CHIPS,16/08/95,1995,M1K4G7,M1K
59034,LYNDON'S MARKET GRILL,17/02/99,1999,M4T1Y7,M4T
59035,CAFE PHUONG,17/08/99,1999,M6J2Y7,M6J
59036,PIZZAVILLE PIZZA,31/07/97,1997,M4S2M2,M4S
59037,SZECHWAN CHUNGKING RESTAURANT,16/08/94,1994,M5T2G7,M5T
59038,HUNGRY EYES CAFE,02/07/97,1997,M5C1E5,M5C
59039,MR NAV'S FISH AND CHIPS PLUS,19/09/97,1997,M1E4P7,M1E
59040,KEW-BEACH GRILL,01/01/91,1991,M4L1H5,M4L
59041,SOLY'S FRANCHISE,07/08/97,1997,M5H3Y2,M5H
59042,BLUE LAGOON,01/01/93,1993,M8V1L7,M8V
59043,RUSTICO RESTAURANT & WINE BAR,28/07/97,1997,M5E1S3,M5E
59044,S & S MILK MART AND VARIETY,01/01/00,2000,M9N2R5,M9N
59045,,01/01/00,2000,M6M3Z6,M6M
59046,SAMIRAMIS RESTAURANT,09/03/99,1999,M9M2Y3,M9M
59047,BUNN TIME,23/03/94,1994,M5H3M9,M5H
59048,PABLA SWEETS & CATERING,16/02/95,1995,M9M2G1,M9M
59049,FALAFEL HOUSE,27/02/97,1997,M6C2B6,M6C
59050,LUCKY LONE'S CHINESE FOOD,24/07/96,1996,M5N1B1,M5N
59051,THE DOCKS BY CHERRY,02/10/96,1996,M5A1A4,M5A
59052,TWINS CAFFEE SHOP,30/10/98,1998,M4W3E2,M4W
59053,THAT LUNCH PLACE,01/01/98,1998,M9C5K6,M9C
59054,GREEN RIVER RESTAURANT,19/05/98,1998,M4M1L4,M4M
59055,GOOD VIBES SPICEY DELIGHT TAKE-OUT RESTAURANT,06/07/98,1998,M6N1B9,M6N
59056,RICH N' FAMOUS CAFE,01/01/99,1999,M4A2V6,M4A
59057,PASTA PLUS,19/07/99,1999,M6N4J8,M6N
59058,MANNA DONUTS,10/07/97,1997,M1E4Z4,M1E
59059,BAR-B-Q HUT RESTAURANT,11/01/99,1999,M3J2X4,M3J
59060,KIM FAST FOOD,06/07/99,1999,M6G1H9,M6G
59061,MADRAS CHALET,01/01/00,2000,M4L1Z7,M4L
59062,,01/01/97,1997,M5T2W6,M5T
59063,FANG YUAN RESTAURANT,07/07/99,1999,M6R2N1,M6R
59064,COFFEE TIME DONUTS,15/01/98,1998,M4W1C8,M4W
59065,UPPER DECK SPORTS BAR & CAFE,23/01/96,1996,M3K1N7,M3K
59066,CAFE CLASSICO,25/08/98,1998,M3J3G8,M3J
59067,MOTHER'S TASTE,07/04/99,1999,M2N4Y2,M2N
59068,SWEETERY/CHICKEN VALLEY/DADDY'S BURGERS,03/02/88,1988,M2N6K1,M2N
59069,KARPENISI KAFE AND COCKTAIL LOUNGE,22/06/98,1998,M2N5M1,M2N
59070,THE DUTCH POT,13/10/98,1998,M4C4G4,M4C
59071,CHEERS ON YONGE,23/08/90,1990,M4P2E6,M4P
59072,EAT & PLAY SUB,03/10/91,1991,M4C1L7,M4C
59073,IL POOM HYANG RESTAURANT,15/07/96,1996,M6G1K9,M6G
59074,MICHAEL'S PLACE,12/01/98,1998,M3J2G6,M3J
59075,FOOD STUDIO,25/08/99,1999,M1B5J6,M1B
59076,JOE'S BAR AND CAFE,10/10/91,1991,M6G1B7,M6G
59077,FUJIYAMA JAPANESE RESTAURANT,01/05/96,1996,M5T1L1,M5T
59078,UMUT COFFEE,01/01/00,2000,M6N1H9,M6N
59079,STEVENS FISH AND CHIPS AND BURGERS,13/09/99,1999,M1E4B8,M1E
59080,HUMBER DONUT & COFFEE,30/10/97,1997,M9V4N4,M9V
59081,SUPER INDIAN CUISINE,07/01/97,1997,M9M2C8,M9M
59082,DEAR KOKOMO,01/01/98,1998,M2M3X7,M2M
59083,LAS IGUANAS,30/03/95,1995,M5S1Y4,M5S
59084,TRATTORIA PAVAROTTI,20/05/98,1998,M4S1Z6,M4S
59085,ANARKALI CHAT HUT,14/09/99,1999,M4L1Z2,M4L
